class,original_class,class_name,split_ss1,split_ss2,split_ss3,split_ps1,split_ps2,split_ps3
64,65,065.Slaty_backed_Gull,val,train,val,train,train,train
65,66,066.Western_Gull,test,test,test,val,val,train
66,67,067.Anna_Hummingbird,val,train,train,train,train,train
67,68,068.Ruby_throated_Hummingbird,val,train,val,train,train,train
68,69,069.Rufous_Hummingbird,train,train,train,val,val,train
69,70,070.Green_Violetear,train,train,val,test,test,test
70,71,071.Long_tailed_Jaeger,train,train,train,train,train,train
71,72,072.Pomarine_Jaeger,test,test,test,test,test,test
72,73,073.Blue_Jay,train,val,train,val,val,train
73,74,074.Florida_Jay,val,val,train,val,train,train
74,75,075.Green_Jay,train,train,train,train,train,val
75,76,076.Dark_eyed_Junco,train,train,val,val,train,train
76,77,077.Tropical_Kingbird,train,val,train,test,test,test
77,78,078.Gray_Kingbird,train,train,train,train,val,train
78,79,079.Belted_Kingfisher,test,test,test,train,train,val
79,80,080.Green_Kingfisher,val,train,val,val,train,val
80,81,081.Pied_Kingfisher,train,val,train,train,train,train
81,82,082.Ringed_Kingfisher,val,train,val,train,train,train
82,83,083.White_breasted_Kingfisher,test,test,test,val,val,train
83,84,084.Red_legged_Kittiwake,test,test,test,test,test,test
84,85,085.Horned_Lark,train,val,train,train,train,train
85,86,086.Pacific_Loon,test,test,test,val,val,val
86,87,087.Mallard,train,train,train,test,test,test
87,88,088.Western_Meadowlark,train,train,train,train,train,val
88,89,089.Hooded_Merganser,val,val,val,val,train,train
89,90,090.Red_breasted_Merganser,train,val,val,train,train,val
90,91,091.Mockingbird,test,test,test,test,test,test
91,92,092.Nighthawk,train,val,val,train,train,train
92,93,093.Clark_Nutcracker,train,train,train,train,val,train
93,94,094.White_breasted_Nuthatch,train,val,train,test,test,test
94,95,095.Baltimore_Oriole,test,test,test,train,train,train
95,96,096.Hooded_Oriole,test,test,test,train,val,train
96,97,097.Orchard_Oriole,val,train,train,test,test,test
97,98,098.Scott_Oriole,test,test,test,test,test,test
98,99,099.Ovenbird,train,train,val,train,train,train
99,100,100.Brown_Pelican,train,val,train,val,train,train
100,101,101.White_Pelican,test,test,test,train,train,val
101,102,102.Western_Wood_Pewee,test,test,test,train,val,val
102,103,103.Sayornis,test,test,test,test,test,test
103,104,104.American_Pipit,train,train,train,test,test,test
104,105,105.Whip_poor_Will,val,val,train,train,train,val
105,106,106.Horned_Puffin,train,train,train,train,val,train
106,107,107.Common_Raven,train,val,train,train,train,train
107,108,108.White_necked_Raven,train,val,val,train,train,val
108,109,109.American_Redstart,val,train,val,val,train,train
109,110,110.Geococcyx,train,val,train,train,train,val
110,111,111.Loggerhead_Shrike,val,train,train,test,test,test
111,112,112.Great_Grey_Shrike,test,test,test,train,train,val
112,113,113.Baird_Sparrow,train,val,val,test,test,test
113,114,114.Black_throated_Sparrow,test,test,test,val,train,val
114,115,115.Brewer_Sparrow,train,train,train,train,val,val
115,116,116.Chipping_Sparrow,train,val,train,val,train,train
116,117,117.Clay_colored_Sparrow,train,val,train,val,train,train
117,118,118.House_Sparrow,train,train,val,val,train,train
118,119,119.Field_Sparrow,test,test,test,test,test,test
119,120,120.Fox_Sparrow,train,train,train,train,train,train
120,121,121.Grasshopper_Sparrow,test,test,test,val,val,train
121,122,122.Harris_Sparrow,val,val,train,train,train,train
122,123,123.Henslow_Sparrow,train,train,val,test,test,test
123,124,124.Le_Conte_Sparrow,val,val,train,test,test,test
124,125,125.Lincoln_Sparrow,val,train,train,train,train,val
125,126,126.Nelson_Sharp_tailed_Sparrow,train,train,val,train,train,val
126,127,127.Savannah_Sparrow,train,train,train,test,test,test
127,128,128.Seaside_Sparrow,train,train,train,val,val,train
128,129,129.Song_Sparrow,train,train,val,train,train,val
129,130,130.Tree_Sparrow,test,test,test,test,test,test
130,131,131.Vesper_Sparrow,val,train,val,train,train,val
131,132,132.White_crowned_Sparrow,train,val,train,test,test,test
132,133,133.White_throated_Sparrow,val,val,train,train,val,train
133,134,134.Cape_Glossy_Starling,val,train,train,train,val,train
134,135,135.Bank_Swallow,test,test,test,train,val,train
135,136,136.Barn_Swallow,train,train,train,test,test,test
136,137,137.Cliff_Swallow,val,val,train,train,train,train
137,138,138.Tree_Swallow,test,test,test,test,test,test
138,139,139.Scarlet_Tanager,train,train,train,test,test,test
139,140,140.Summer_Tanager,val,train,val,val,val,train
140,141,141.Artic_Tern,train,train,train,val,train,train
141,142,142.Black_Tern,train,train,val,train,train,val
142,143,143.Caspian_Tern,val,train,val,test,test,test
143,144,144.Common_Tern,train,train,train,val,val,val
144,145,145.Elegant_Tern,val,train,train,train,train,train
145,146,146.Forsters_Tern,train,train,train,train,train,train
146,147,147.Least_Tern,test,test,test,train,train,val
147,148,148.Green_tailed_Towhee,val,train,train,test,test,test
148,149,149.Brown_Thrasher,train,val,val,train,train,train
149,150,150.Sage_Thrasher,train,train,train,val,val,train
150,151,151.Black_capped_Vireo,train,val,val,val,train,train
151,152,152.Blue_headed_Vireo,val,train,train,train,train,train
152,153,153.Philadelphia_Vireo,train,val,train,val,train,val
153,154,154.Red_eyed_Vireo,train,train,train,train,train,train
154,155,155.Warbling_Vireo,val,val,val,val,train,val
155,156,156.White_eyed_Vireo,test,test,test,test,test,test
156,157,157.Yellow_throated_Vireo,val,train,train,test,test,test
157,158,158.Bay_breasted_Warbler,train,train,train,val,val,train
158,159,159.Black_and_white_Warbler,train,train,train,train,train,train
159,160,160.Black_throated_Blue_Warbler,train,train,train,train,train,val
160,161,161.Blue_winged_Warbler,train,train,train,test,test,test
161,162,162.Canada_Warbler,train,val,train,val,val,train
162,163,163.Cape_May_Warbler,test,test,test,test,test,test
163,164,164.Cerulean_Warbler,val,val,train,test,test,test
164,165,165.Chestnut_sided_Warbler,test,test,test,test,test,test
165,166,166.Golden_winged_Warbler,test,test,test,train,train,val
166,167,167.Hooded_Warbler,train,val,train,train,train,train
167,168,168.Kentucky_Warbler,train,train,train,test,test,test
168,169,169.Magnolia_Warbler,val,train,train,test,test,test
169,170,170.Mourning_Warbler,val,val,val,train,train,train
170,171,171.Myrtle_Warbler,train,train,train,train,train,val
171,172,172.Nashville_Warbler,train,train,train,train,val,train
172,173,173.Orange_crowned_Warbler,train,val,train,test,test,test
173,174,174.Palm_Warbler,train,train,val,val,val,train
174,175,175.Pine_Warbler,train,train,val,train,val,val
175,176,176.Prairie_Warbler,train,train,train,train,train,train
176,177,177.Prothonotary_Warbler,val,train,train,val,train,train
177,178,178.Swainson_Warbler,train,train,val,train,val,train
178,179,179.Tennessee_Warbler,val,train,val,val,val,val
179,180,180.Wilson_Warbler,test,test,test,test,test,test
180,181,181.Worm_eating_Warbler,train,val,val,train,val,val
181,182,182.Yellow_Warbler,train,train,val,val,train,train
182,183,183.Northern_Waterthrush,test,test,test,train,train,train
183,184,184.Louisiana_Waterthrush,train,train,train,val,train,val
184,185,185.Bohemian_Waxwing,test,test,test,train,train,train
185,186,186.Cedar_Waxwing,test,test,test,train,train,train
186,187,187.American_Three_toed_Woodpecker,test,test,test,train,val,val
187,188,188.Pileated_Woodpecker,train,val,train,test,test,test
188,189,189.Red_bellied_Woodpecker,train,train,val,val,train,train
189,190,190.Red_cockaded_Woodpecker,train,train,train,test,test,test
190,191,191.Red_headed_Woodpecker,train,train,val,test,test,test
191,192,192.Downy_Woodpecker,train,val,train,val,train,train
192,193,193.Bewick_Wren,train,train,val,train,train,train
193,194,194.Cactus_Wren,val,train,val,val,train,train
194,195,195.Carolina_Wren,val,val,val,val,train,train
195,196,196.House_Wren,train,train,val,train,val,train
196,197,197.Marsh_Wren,test,test,test,train,val,train
197,198,198.Rock_Wren,train,train,train,val,train,train
198,199,199.Winter_Wren,val,train,train,train,train,train
199,200,200.Common_Yellowthroat,train,train,train,test,test,test
