image_id,path,class,original_class,class_name,split_ss1,split_ss2,split_ss3,split_ps1,split_ps2,split_ps3
11,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_test_train
12,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
13,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
14,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,seen_test_val,seen_test_train
15,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,train
16,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_test_train
17,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
18,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_val
19,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,seen_test_train
20,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
21,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
22,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
23,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
24,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,train
25,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
26,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,seen_test_val,seen_val
27,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
28,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,train
29,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
30,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,train
31,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
32,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,seen_test_val,seen_test_train
33,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,seen_test_train
34,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,train
35,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_test_train
36,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,seen_test_val,seen_test_train
37,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
38,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,train
39,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,seen_test_train
40,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
41,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,seen_test_train
42,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
43,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_val
44,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,train
45,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_val
46,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
47,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
48,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,seen_val
49,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,train
50,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,seen_val
51,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
52,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
53,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_test_train,val,train
54,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,seen_test_train
55,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,seen_val
56,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,val,train
57,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,seen_test_train
58,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,seen_val
59,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,1,001.Black_footed_Albatross,test,test,test,train,seen_test_val,train
60,/scratch_global/yannick/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,0,1,001.Black_footed_Albatross,test,test,test,seen_val,val,seen_test_train
61,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_val,seen_test_val,seen_val
62,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
63,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,seen_val,val,seen_val
64,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,train,val,seen_val
65,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
66,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_val,val,train
67,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,train,val,seen_val
68,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,seen_test_train,val,seen_val
69,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,2,002.Laysan_Albatross,val,seen_val,seen_test_val,train,val,train
70,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
71,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,1,2,002.Laysan_Albatross,val,train,val,train,seen_test_val,train
72,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,train,val,train
73,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,train,seen_test_val,seen_test_train
74,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
75,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,seen_test_val,train,seen_test_val,seen_test_train
76,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,seen_val,val,train
77,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,val,train
78,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,seen_test_train
79,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,train,seen_test_val,seen_test_train
80,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,2,002.Laysan_Albatross,val,seen_test_train,val,train,seen_test_val,train
81,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
82,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,seen_test_val,seen_test_train,val,seen_val
83,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,1,2,002.Laysan_Albatross,seen_test_val,seen_val,val,train,val,train
84,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
85,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,1,2,002.Laysan_Albatross,val,seen_test_train,val,seen_test_train,val,train
86,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
87,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,1,2,002.Laysan_Albatross,val,seen_test_train,val,train,val,train
88,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,1,2,002.Laysan_Albatross,val,seen_val,seen_test_val,seen_test_train,seen_test_val,train
89,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,val,seen_test_train
90,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,seen_test_train,seen_test_val,train
91,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,1,2,002.Laysan_Albatross,val,train,val,train,seen_test_val,train
92,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,train,val,train
93,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,seen_test_val,train,val,seen_test_train
94,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,val,seen_test_train
95,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,1,2,002.Laysan_Albatross,val,seen_test_train,val,train,val,train
96,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
97,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,val,train
98,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
99,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,seen_test_train,val,train
100,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,1,2,002.Laysan_Albatross,val,train,seen_test_val,train,val,train
101,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,2,002.Laysan_Albatross,val,train,seen_test_val,train,val,train
102,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,seen_val,seen_test_val,train
103,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,seen_test_train,val,seen_test_train
104,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,seen_val,val,train
105,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,seen_test_val,train
106,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,2,002.Laysan_Albatross,val,seen_val,seen_test_val,seen_test_train,seen_test_val,train
107,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,val,train
108,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,train,val,seen_test_train
109,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,train
110,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,1,2,002.Laysan_Albatross,val,seen_val,val,train,val,train
111,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,2,002.Laysan_Albatross,val,train,val,train,seen_test_val,seen_test_train
112,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,1,2,002.Laysan_Albatross,val,train,val,train,seen_test_val,seen_test_train
113,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,1,2,002.Laysan_Albatross,seen_test_val,train,val,train,val,train
114,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,2,002.Laysan_Albatross,seen_test_val,seen_val,val,seen_test_train,val,train
115,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,1,2,002.Laysan_Albatross,val,seen_test_train,val,train,val,train
116,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,seen_val
117,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,2,002.Laysan_Albatross,val,train,val,seen_test_train,val,seen_test_train
118,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,seen_test_train
119,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,2,002.Laysan_Albatross,val,seen_test_train,seen_test_val,train,val,train
120,/scratch_global/yannick/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,2,002.Laysan_Albatross,val,train,val,train,val,seen_test_train
121,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,2,3,003.Sooty_Albatross,train,train,train,seen_test_train,seen_val,seen_test_train
122,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,2,3,003.Sooty_Albatross,seen_val,train,train,train,train,seen_val
123,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,2,3,003.Sooty_Albatross,train,train,train,seen_val,train,train
124,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,2,3,003.Sooty_Albatross,train,train,seen_val,seen_val,train,train
125,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,2,3,003.Sooty_Albatross,seen_val,train,seen_test_train,train,train,seen_test_train
126,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0003_1078.jpg,2,3,003.Sooty_Albatross,seen_val,seen_val,seen_test_train,train,seen_test_train,seen_val
127,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,2,3,003.Sooty_Albatross,train,train,train,train,train,train
128,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,2,3,003.Sooty_Albatross,train,train,train,train,train,train
129,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,2,3,003.Sooty_Albatross,seen_test_train,train,train,train,train,train
130,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0071_1116.jpg,2,3,003.Sooty_Albatross,seen_val,seen_test_train,train,train,train,train
131,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,2,3,003.Sooty_Albatross,train,train,seen_test_train,train,train,train
132,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0030_1122.jpg,2,3,003.Sooty_Albatross,train,seen_val,train,train,train,train
133,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,2,3,003.Sooty_Albatross,seen_test_train,train,train,seen_test_train,seen_val,train
134,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,2,3,003.Sooty_Albatross,train,seen_test_train,train,train,train,train
135,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,2,3,003.Sooty_Albatross,seen_test_train,train,train,train,train,train
136,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,2,3,003.Sooty_Albatross,seen_test_train,train,train,train,train,train
137,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,2,3,003.Sooty_Albatross,train,train,train,train,train,seen_val
138,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,2,3,003.Sooty_Albatross,seen_test_train,train,seen_val,train,train,seen_test_train
139,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0024_1161.jpg,2,3,003.Sooty_Albatross,train,train,train,seen_test_train,train,train
140,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg,2,3,003.Sooty_Albatross,train,train,train,train,train,train
141,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg,2,3,003.Sooty_Albatross,train,train,train,train,seen_test_train,train
142,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg,2,3,003.Sooty_Albatross,train,train,seen_val,seen_val,train,train
143,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg,2,3,003.Sooty_Albatross,train,train,train,train,seen_test_train,train
144,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0005_796342.jpg,2,3,003.Sooty_Albatross,seen_test_train,seen_test_train,train,train,train,seen_test_train
145,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,2,3,003.Sooty_Albatross,train,train,train,train,train,train
146,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0042_1210.jpg,2,3,003.Sooty_Albatross,train,train,seen_val,train,train,seen_test_train
147,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0046_1211.jpg,2,3,003.Sooty_Albatross,train,seen_test_train,train,train,seen_val,train
148,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg,2,3,003.Sooty_Albatross,seen_val,train,train,seen_test_train,train,train
149,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0049_796350.jpg,2,3,003.Sooty_Albatross,train,train,train,train,seen_val,seen_test_train
150,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0050_796351.jpg,2,3,003.Sooty_Albatross,seen_test_train,seen_val,train,train,train,train
151,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg,2,3,003.Sooty_Albatross,seen_test_train,seen_test_train,seen_val,train,train,seen_test_train
152,/scratch_global/yannick/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg,2,3,003.Sooty_Albatross,train,train,train,train,seen_val,seen_test_train
